#,Category,Difficulty,Type,Question,Correct A,Incorrect 1,Incorrect 2,Incorrect 3
4655,Celebrity Real Names,Easy,Text,"""Bild"" is the top-selling daily newspaper in which country?",Germany,France,Mexico,Brazil
4656,Celebrity Real Names,Easy,Text,"""Black gold"" is a nickname for which substance?",Oil,Mercury,Coffee,Beer
4657,Celebrity Real Names,Easy,Text,"""Five-finger discount"" is slang for what crime?",Shop-Lifting,Fraud,Kidnap,Forgery
4658,Celebrity Real Names,Easy,Text,"""God Save the Queen"" is the national anthem of which country?",United Kingdom,Belgium,China,France
4659,Celebrity Real Names,Easy,Text,"""Land of the Rising Sun"" is the nickname for which country?",Japan,Thailand,Vietnam,Australia
4660,Celebrity Real Names,Easy,Text,"""Left leg green"" might be an instruction in which game?",Twister,Monopoly,Scrabble,Backgammon
4661,Celebrity Real Names,Easy,Text,"""The Windy City"" is which place's most common nickname?",Chicago,Boston,New York,Baltimore
4662,Celebrity Real Names,Easy,Text,"""Thriller"" was a worldwide hit in 1984 for which artist?",Michael Jackson,David Bowie,Stevie Wonder,Bee Gees
4663,Celebrity Real Names,Easy,Text,"""Yesterday"" is one of the best-known songs by which group?",Beatles,Rolling Stones,One Direction,Blondie
4664,Celebrity Real Names,Easy,Text,A codicil is an extra text which is added to which legal document?,Will,Marriage Certificate,Mortgage,Divorce
4665,Celebrity Real Names,Easy,Text,A coven is a group of which people?,Witches,Artists,Pirates,Farmers
4666,Celebrity Real Names,Easy,Text,A crocodile is often confused with which other animal?,Alligator,Antelope,Armadillo,Angora
4667,Celebrity Real Names,Easy,Text,"A dilemma is known as being stuck between who, and the deep blue sea?",Devil,Angel,Queen  ,Adam
4668,Celebrity Real Names,Easy,Text,A groom generally looks after which animals?,Horses,Pigs,Sheep,Cows
4669,Celebrity Real Names,Easy,Text,A marmoset is which species of animal?,Monkey,Whale,Seal,Dog
4670,Celebrity Real Names,Easy,Text,A member of which boyband married actress Priyanka Chopra in 2018?,Jonas Brothers,One Direction,Take That,BTS
4671,Celebrity Real Names,Easy,Text,"A product which has high market share, requiring minimal investment is called a cash what?",Cow,Pig ,Sheep,Elephant
4672,Celebrity Real Names,Easy,Text,A relative who doesn't fit with everyone else is known as which black animal?,Sheep,Cow,Pig,Dog
4673,Celebrity Real Names,Easy,Text,A skilled player of which game is often referred to as a Grandmaster?,Chess,Monopoly,Darts,Bowls
4674,Celebrity Real Names,Easy,Text,A skull and crossbones symbol is associated with which group of people?,Pirates,Soldiers,Dancers,Chefs
4675,Celebrity Real Names,Easy,Text,"According to the Bible, in which river was Moses set adrift in a basket?",Nile,Jordan,Euphrates,Danube
4676,Celebrity Real Names,Easy,Text,"According to the expression, revenge is a dish best served in which way?",Cold,Hot,Frozen,Fried
4677,Celebrity Real Names,Easy,Text,"According to the rhyme, who sailed the ocean blue in 1492?",Columbus,Pilgrim Fathers,Captain Cook,Blackbeard
4678,Celebrity Real Names,Easy,Text,"According to the saying, which group of people can't be choosers?",Beggars,Fishmongers,Knights,Doctors
4679,Celebrity Real Names,Easy,Text,Aconcagua is the highest point of which mountain range?,Andes,Atlas,Himalayas,Alps
4680,Celebrity Real Names,Easy,Text,"After midnight, Cinderella's carriage turned into which item?",Pumpkin,Cake,Potato,Cheese
4681,Celebrity Real Names,Easy,Text,"Americans say ""faucet"", but what's the same thing called in the UK?",Tap,Bath,Loo,Basin
4682,Celebrity Real Names,Easy,Text,"An ingot is an oblong bar, usually of which metal?",Gold,Copper,Lead,Brass
4683,Celebrity Real Names,Easy,Text,"April, June, September, and which other month only have 30 days?",November,January,May,August
4684,Celebrity Real Names,Easy,Text,Autobahn is the name for high-speed roads in which country?,Germany,Sweden,Russia ,Australia
4685,Celebrity Real Names,Easy,Text,Bluegrass music developed in which country?,United States,Canada,Italy,Australia
4686,Celebrity Real Names,Easy,Text,Boeing is a famous name in the production of which items?,Aircraft,Jackets,Trainers,Cell Phones
